Dataset,Tamaño Dataset,Modelo,Tamaño Modelo,Tiempo
BCW,569,1,2238,136.436
BCW,569,2,6462,147.795
BCW,569,5,85000,251.935
BCW,569,11,1400000,1791.067
BHP,506,1,2238,56.217
BHP,506,2,6462,61.645
BHP,506,5,85000,110.071
BHP,506,11,1400000,833.789
WQC,4898,1,2238,800.998
WQC,4898,2,6462,867.628
WQC,4898,5,85000,1111.359
WQC,4898,11,1400000,2395.200
WQR,4898,1,2238,785.936
WQR,4898,2,6462,856.806
WQR,4898,5,85000,1123.316
WQR,4898,11,1400000,2054.672
MNIST,15000,1,62000,7254.432
MNIST,15000,2,500000,7991.074
MNIST,15000,3,1400000,8785.166
FMNIST,15000,1,62000,6068.308
FMNIST,15000,2,500000,6735.368
FMNIST,15000,3,1400000,10914.907
CIFAR,15000,1,62000,7453.761
CIFAR,15000,2,500000,8164.679
CIFAR,15000,3,1400000,8812.613

