Conjunto,Capas,train_adam,test_adam,metric_adam,train_shade,test_shade,metric_shade
BCW,1,0.190,0.108,0.960,0.073,0.142,0.970
BCW,2,0.140,0.041,0.980,0.063,0.350,0.932
BCW,5,0.115,0.026,1.000,0.055,0.475,0.890
BCW,11,0.112,0.094,0.971,0.098,0.491,0.903
WQC,1,0.970,2.172,0.436,1.098,1.235,0.201
WQC,2,0.873,3.177,0.5,1.078,1.340,0.167
WQC,5,0.770,3.833,0.606,0.963, 1.405,0.167
WQC,11,0.940,3.873,0.607,1.137,1.509,0.167
WQR,1,0.475,0.972,-0.012,0.611,0.970,-1.988
WQR,2,0.430,1.126,0.072,0.551,0.826,-2.491
WQR,5,0.390,1.180,0.236,0.589,0.724,-983.152
WQR,11,0.377,2.162,0.133,0.601,0.734,-79529.602
BHP,1,84.429,6.332,0.790,10.048,7.549,0.576
BHP,2,55.283,4.577,0.832,9.560,4.648,0.746
BHP,5,94.640,3.511,0.847,13.594,14.555,-0.187
BHP,11,54.540,3.268,0.853,43.183,26.794,-97.404
