,Dataset,Tamaño Dataset,Modelo,Tamaño Modelo,Tiempo MH,Tiempo GD
0,BCW,569,1,2238,136.436,2.442
1,BCW,569,2,6462,147.795,2.448
2,BCW,569,5,85000,251.935,2.611
3,BCW,569,11,1400000,1791.067,3.103
4,BHP,506,1,2238,56.217,1.041
5,BHP,506,2,6462,61.645,1.005
6,BHP,506,5,85000,110.071,1.197
7,BHP,506,11,1400000,833.789,1.385
8,WQC,4898,1,2238,800.998,9.691
9,WQC,4898,2,6462,867.628,10.065
10,WQC,4898,5,85000,1111.359,12.283
11,WQC,4898,11,1400000,2395.2,17.922
12,WQR,4898,1,2238,785.936,9.677
13,WQR,4898,2,6462,856.806,10.111
14,WQR,4898,5,85000,1123.316,11.907
15,WQR,4898,11,1400000,2054.672,15.203
16,MNIST,15000,1,62000,7254.432,54.999
17,MNIST,15000,2,500000,7991.074,61.035
18,MNIST,15000,3,1400000,8785.166,72.317
19,FMNIST,15000,1,62000,6068.308,56.922
20,FMNIST,15000,2,500000,6735.368,63.989
21,FMNIST,15000,3,1400000,10914.907,73.486
22,CIFAR,15000,1,62000,7453.761,107.512
23,CIFAR,15000,2,500000,8164.679,113.781
24,CIFAR,15000,3,1400000,8812.613,123.113
