Dataset,Tamaño Dataset,Modelo,Tamaño Modelo,Tiempo
BCW,569,1,2238,2.442
BCW,569,2,6462,2.448
BCW,569,5,85000,2.611
BCW,569,11,1400000,3.103
BHP,506,1,2238,1.041
BHP,506,2,6462,1.005
BHP,506,5,85000,1.197
BHP,506,11,1400000,1.385
WQC,4898,1,2238,9.691
WQC,4898,2,6462,10.065
WQC,4898,5,85000,12.283
WQC,4898,11,1400000,17.922
WQR,4898,1,2238,9.677
WQR,4898,2,6462,10.111
WQR,4898,5,85000,11.907
WQR,4898,11,1400000,15.203
MNIST,15000,1,62000,54.999
MNIST,15000,2,500000,61.035
MNIST,15000,3,1400000,72.317
FMNIST,15000,1,62000,56.922
FMNIST,15000,2,500000,63.989
FMNIST,15000,3,1400000,73.486
CIFAR,15000,1,62000,107.512
CIFAR,15000,2,500000,113.781
CIFAR,15000,3,1400000,123.113

